[prun] Master compute host = c30
[prun] Resource manager = slurm
[prun] Launch cmd = mpiexec.hydra -bootstrap slurm ./mpi_sendrcv
avg is 483 for process 0 size= 32 
avg is 384 for process 4 size= 32 
avg is 398 for process 1 size= 32 
avg is 431 for process 1 size= 64 
avg is 560 for process 0 size= 64 
avg is 467 for process 1 size= 128 
avg is 419 for process 4 size= 64 
avg is 358 for process 3 size= 32 
avg is 440 for process 7 size= 32 
avg is 398 for process 3 size= 64 
avg is 479 for process 7 size= 64 
avg is 497 for process 3 size= 128 
avg is 537 for process 1 size= 256 
avg is 593 for process 1 size= 512 
avg is 550 for process 3 size= 256 
avg is 576 for process 7 size= 128 
avg is 664 for process 1 size= 1024 
avg is 438 for process 6 size= 32 
avg is 343 for process 2 size= 32 
avg is 628 for process 3 size= 512 
avg is 662 for process 7 size= 256 
avg is 725 for process 3 size= 1024 
avg is 359 for process 5 size= 32 
avg is 393 for process 5 size= 64 
avg is 430 for process 5 size= 128 
avg is 496 for process 5 size= 256 
avg is 542 for process 5 size= 512 
avg is 621 for process 5 size= 1024 
avg is 738 for process 7 size= 512 
avg is 809 for process 7 size= 1024 
avg is 816 for process 0 size= 128 
avg is 521 for process 6 size= 64 
avg is 433 for process 2 size= 64 
avg is 477 for process 2 size= 128 
avg is 589 for process 6 size= 128 
avg is 898 for process 0 size= 256 
avg is 658 for process 6 size= 256 
avg is 538 for process 2 size= 256 
avg is 590 for process 2 size= 512 
avg is 727 for process 6 size= 512 
avg is 820 for process 6 size= 1024 
avg is 677 for process 2 size= 1024 
avg is 673 for process 4 size= 128 
avg is 752 for process 4 size= 256 
avg is 1335 for process 0 size= 512 
avg is 1186 for process 4 size= 512 
avg is 1434 for process 0 size= 1024 
avg is 1279 for process 4 size= 1024 
