[prun] Master compute host = c30
[prun] Resource manager = slurm
[prun] Launch cmd = mpiexec.hydra -bootstrap slurm ./mpi_sendrcv
avg is 315 for process 5 size= 32 
avg is 280 for process 1 size= 32 
avg is 405 for process 5 size= 64 
avg is 340 for process 1 size= 64 
avg is 451 for process 5 size= 128 
avg is 389 for process 1 size= 128 
avg is 434 for process 1 size= 256 
avg is 517 for process 5 size= 256 
avg is 482 for process 1 size= 512 
avg is 572 for process 5 size= 512 
avg is 554 for process 1 size= 1024 
avg is 645 for process 5 size= 1024 
avg is 1199 for process 4 size= 32 
avg is 1241 for process 4 size= 64 
avg is 592 for process 0 size= 32 
avg is 633 for process 0 size= 64 
avg is 882 for process 0 size= 128 
avg is 1465 for process 4 size= 128 
avg is 563 for process 3 size= 32 
avg is 598 for process 3 size= 64 
avg is 394 for process 7 size= 32 
avg is 658 for process 3 size= 128 
avg is 427 for process 7 size= 64 
avg is 484 for process 7 size= 128 
avg is 718 for process 3 size= 256 
avg is 1216 for process 0 size= 256 
avg is 538 for process 7 size= 256 
avg is 1934 for process 4 size= 256 
avg is 778 for process 3 size= 512 
avg is 591 for process 7 size= 512 
avg is 434 for process 6 size= 32 
avg is 887 for process 3 size= 1024 
avg is 354 for process 2 size= 32 
avg is 687 for process 7 size= 1024 
avg is 410 for process 2 size= 64 
avg is 531 for process 6 size= 64 
avg is 615 for process 6 size= 128 
avg is 444 for process 2 size= 128 
avg is 687 for process 6 size= 256 
avg is 497 for process 2 size= 256 
avg is 748 for process 6 size= 512 
avg is 551 for process 2 size= 512 
avg is 814 for process 6 size= 1024 
avg is 618 for process 2 size= 1024 
avg is 2386 for process 4 size= 512 
avg is 1386 for process 0 size= 512 
avg is 1547 for process 0 size= 1024 
avg is 2560 for process 4 size= 1024 
